locale,af-ZA,ar,az-AZ,bg-BG,bn-BD,bs-BA,ca,cs,da,de,el,en,es,et-EE,eu,fa-IR,fi,fr,ga-IE,gl-ES,gu-IN,he,hi-IN,hr-HR,hu,id,it,ja,ka-GE,kk-KZ,km-KH,kn-IN,ko,ky-KG,lt-LT,lv-LV,mk-MK,ml-IN,mr-IN,ms,my,nb,nl,pa-IN,pl,pt-BR,pt-PT,ro-RO,ru,sk-SK,sl-SI,sq-AL,sr,sv,sw,ta-IN,te-IN,th,tl-PH,tr,ug,uk-UA,ur,vi,yue,zh-CN,zh-HK,zh-Hant
km-KH,អាហ្រ្វិក,អារ៉ាប់,អាស៊ែបៃហ្សង់,ប៊ុលហ្ការី,បង់ក្លាដែស,បូស្ន៊ី,កាតាឡាន,ឆែក,ដាណឺម៉ាក,អាល្លឺម៉ង់,ក្រិក,អង់គ្លេស,អេស្ប៉ាញ,អេស្តូនី,បាស,ពែរ្ស,ហ្វាំងឡង់,បារាំង,អៀរឡង់,ហ្គាលីសៀន,ហ្គូចារ៉ាទី,ហេប្រ៊ូ,ហិណ្ឌូ,ក្រូអាស៊ី,ហុងគ្រី,ឥណ្ឌូណេស៊ី,អ៊ីតាលី,ជប៉ុន,ហ្សកហ្ស៊ី,កាហ្សាក់ស្ថាន,ខ្មែរ,ខាណាដា,កូរ៉េ,កៀហ្ស៊ីស៊ីស្ថាន,លីទុយអានី,ឡេតូនី,ម៉ាសេដ្វាន,ម៉ាឡាយ៉ាឡាម,ម៉ារ៉ាធី,ម៉ាឡេ,ភូមា,ន័រវែស,ហូឡង់,ពុនចាប៊ី,ប៉ូឡូញ,ព័រទុយហ្គាល់ប្រេស៊ីល,ព័រទុយហ្គាល់អឺរ៉ុប,រ៉ូម៉ានី,រុស្ស៊ី,ស្លូវ៉ាគី,ស្លូវេនី,អាល់បានី,ស៊ែប៊ី,ស៊ុយអែត,ស្វាហ៊ីលី,តាមីល,តេលូហ្គូ,ថៃ,ហ្វីលីពីន,តួកគី,អ៊ុយហ្គួ,អ៊ុយក្រែន,អ៊ូរឌូ,វៀតណាម,កាតាំង,ចិន (ចិន),ចិន (ហុងកុង),ចិនបុរាណ
kn-IN,ಆಫ್ರಿಕಾನ್ಸ್,ಅರೇಬಿಕ್,ಅಜೆರ್ಬೈಜಾನಿ ,ಬಲ್ಗೇರಿಯನ್ ,ಬಾಂಗ್ಲಾ ,ಬೋಸ್ನಿಯನ್ ,ಕೆಟಲಾನ್,ಜೆಕ್,ಡ್ಯಾನಿಶ್,ಜರ್ಮನ್,ಗ್ರೀಕ್,ಇಂಗ್ಲಿಷ್,ಸ್ಪ್ಯಾನಿಷ್,ಎಸ್ಟೊನಿಯನ್ ,ಬಾಸ್ಕ್,ಪರ್ಶಿಯನ್ ,ಫಿನ್ನಿಶ್,ಫ್ರೆಂಚ್,ಐರಿಷ್ ,ಗ್ಯಾಲಿಶಿಯನ್,ಗುಜರಾತಿ,ಹೀಬ್ರೂ,ಹಿಂದಿ,ಕ್ರೊಯೇಶಿಯನ್,ಹಂಗೇರಿಯನ್,ಇಂಡೋನೇಶಿಯನ್,ಇಟಾಲಿಯನ್,ಜಾಪನೀಸ್,ಜಾರ್ಜಿಯನ್,ಕಝಕ್ ,ಖಮೇರ್,ಕನ್ನಡ,ಕೊರಿಯನ್,ಕಿರ್ಗಿಜ್,ಲಿಥುವೇನಿಯನ್,ಲಾಟ್ವಿಯನ್,ಮೆಸಿಡೋನಿಯನ್,ಮಲಯಾಳಂ,ಮರಾಠಿ,ಮಲಯ್,ಬರ್ಮೀಸ್,ನಾರ್ವೆಜಿಯನ್ ಬೊಕ್ಮಲ್,ಡಚ್,ಪಂಜಾಬಿ,ಪೊಲಿಶ್,ಬ್ರೆಜಿಲಿಯನ್ ಪೋರ್ಚುಗೀಸ್,ಯೂರೋಪಿಯನ್ ಪೋರ್ಚುಗೀಸ್,ರೊಮೇನಿಯನ್,ರಷ್ಯನ್,ಸ್ಲೋವಾಕ್,ಸ್ಲೋವೇನಿಯನ್,ಅಲ್ಬೇನಿಯನ್ ,ಸೆರ್ಬಿಯನ್,ಸ್ವೀಡಿಷ್,ಸ್ವಹಿಲಿ,ತಮಿಳು,ತೆಲುಗು,ಥಾಯ್,ಫಿಲಿಪಿನೊ,ಟರ್ಕಿಶ್,ಉಯಿಘರ್,ಉಕ್ರೇನಿಯನ್ ,ಉರ್ದು,ವಿಯೆಟ್ನಾಮೀಸ್,ಕ್ಯಾಂಟನೀಸ್,ಚೈನೀಸ್ (ಚೀನಾ),ಚೈನೀಸ್ (ಹಾಂಗ್ ಕಾಂಗ್),ಸಾಂಪ್ರದಾಯಿಕ ಚೈನೀಸ್
ko,아프리칸스어,아랍어,아제르바이잔어,불가리아어,벵골어,보스니아어,카탈로니아어,체코어,덴마크어,독일어,그리스어,영어,스페인어,에스토니아어,바스크어,페르시아어,핀란드어,프랑스어,아일랜드어,갈리시아어,구자라트어,히브리어,힌디어,크로아티아어,헝가리어,인도네시아어,이탈리아어,일본어,조지아어,카자흐어,크메르어,칸나다어,한국어,키르기스어,리투아니아어,라트비아어,마케도니아어,말라얄람어,마라티어,말레이어,버마어,노르웨이어,네덜란드어,펀자브어,폴란드어,포르투갈어(브라질),포르투갈어(포르투갈),루마니아어,러시아어,슬로바키아어,슬로베니아어,알바니아어,세르비아어,스웨덴어,스와힐리어,타밀어,텔루구어,태국어,필리핀어,터키어,위구르어,우크라이나어,우르두어,베트남어,광둥어,중국어(중국),중국어(홍콩),중국어(번체)
ky-KG,африкаанс ,араб тили,азербайжанча,болгарча,бенгалча,боснияча,каталанча,чехче,датча,немисче,грекче,англисче,испанча,эстончо,баскча,персидче,финче,французча,ирландча,галисче,гуджарати,иврит,хинди,хорватча,венгерче,индонезияча,италиянча,жапончо,грузинче,казакча,кхмерче,каннада,корейче,кыргызча,литовчо,латышча,македончо,малаяламча,маратхиче,малайча,бирманча,норвегиялык букмолчо,нидерландча,панджабиче,польшалыкча,бразилиялык португалча,европалык португалча,румынча,орусча,словакча,словенче,албанча,сербче,шведче,суахиличе,тамилче,телугуча,тайча,филиппинче,түркчө,уйгурча,украинче,урдуча,вьетнамча,кантончо,кытайча (Кытай),кытайча (Гонконг),кытайча (салттуу жазуу)
lt-LT,afrikanų,arabų,azerbaidžaniečių,bulgarų,bengalų,bosnių,katalonų,čekų,danų,vokiečių,graikų,anglų,ispanų,estų,baskų,persų,suomių,prancūzų,airių,galisų,gudžaratų,hebrajų,hindi,kroatų,vengrų,indoneziečių,italų,japonų,gruzinų,kazachų,khmerų,kanadų,korėjiečių,kirgizų,lietuvių,latvių,makedonų,malajalių,maratų,malajiečių,birmiečių,norvegų bukmolas,olandų,pandžabų,lenkų,portugalų (Brazilija),portugalų (Portugalija),rumunų,rusų,slovakų,slovėnų,albanų,serbų,švedų,suahilių,tamilų,telugų,tajų,filipiniečių,turkų,uigūrų,ukrainiečių,urdu,vietnamiečių,kinų (Kantono tarmė),kinų (Kinija),kinų (Honkongas),kinų (tradicinė)
lv-LV,afrikandu,arābu,azerbaidžāņu,bulgāru,bengāļu,bosniešu,katalāņu,čehu,dāņu,vācu,grieķu,angļu,spāņu,igauņu,basku,persiešu,somu,franču,īru,galisiešu,gudžaratu,ivrits,hindi,horvātu,ungāru,indonēziešu,itāļu,japāņu,gruzīnu,kazahu,khmeru,kannadu,korejiešu,kirgīzu,lietuviešu,latviešu,maķedoniešu,malajalu,marathu,malajiešu,birmiešu,norvēģu bukmols,holandiešu,pandžabu,poļu,portugāļu (Brazīlija),portugāļu (Portugāle),rumāņu,krievu,slovāku,slovēņu,albāņu,serbu,zviedru,svahili,tamilu,telugu,taju,filipīniešu,turku,uiguru,ukraiņu,urdu,vjetnamiešu,kantoniešu,ķīniešu (Ķīna),ķīniešu (Honkonga),ķīniešu tradicionālā
mk-MK,африканс ,арапски,азербејџански ,бугарски ,бенгалски ,босански  ,каталонски,чешки,дански,германски,грчки,англиски,шпански,естонски ,баскиски,персиски,фински,француски,ирски ,галициски ,гуџаратски ,хебрејски,хинди,хрватски,унгарски,индонезиски,италијански,јапонски,грузијски,казахстански,кмерски,канадски,корејски,киргиски,литвански,летонски,македонски,малајаламски,маратски,малајски,бурмански,норвешки (букмол),холандски,пенџапски,полски,бразилски португалски ,португалски,романски,руски,словачки,словенечки,албански,српски,шведски,свахилски,тамилски,телугу,тајландски,филипински,турски,ујгурски,украински,урду,виетнамски,кантонски,кинески (Кина),кинески (Хонг Конг),традиционален кинески
ml-IN,ആഫ്രിക്കാൻസ് ,അറബിക്,അസർബൈജാനി ,ബൾഗേറിയൻ,ബംഗ്ലാ ,ബോസ്നിയൻ ,കറ്റാലാൻ,ചെക്ക്,ഡാനിഷ്,ജർമ്മൻ,ഗ്രീക്ക്,ഇംഗ്ലീഷ്,സ്‌പാനിഷ്,എസ്റ്റോണിയൻ ,ബാസ്‌ക്,പേർഷ്യൻ ,ഫിന്നിഷ്,ഫ്രഞ്ച്,ഐറിഷ് ,ഗലീഷ്യൻ,ഗുജറാത്തി,ഹീബ്രു,ഹിന്ദി,ക്രൊയേഷ്യൻ,ഹംഗേറിയൻ,ഇന്തോനേഷ്യൻ,ഇറ്റാലിയൻ,ജാപ്പനീസ്,ജോർജിയൻ,കസാഖ്,ഖമെർ,കന്നഡ,കൊറിയൻ,കിർഗിസ്,ലിത്വാനിയൻ,ലാറ്റ്വിയൻ,മാസിഡോണിയൻ,മലയാളം,മറാത്തി,മലെയ്,ബർമീസ്,നോർവീജിയൻ ബുക്‌മൽ,ഡച്ച്,പഞ്ചാബി,പോളിഷ്,ബ്രസീലിയൻ പോർച്ചുഗീസ്,യൂറോപ്യൻ പോർച്ചുഗീസ്,റൊമാനിയൻ,റഷ്യൻ,സ്ലോവാക്,സ്ലോവേനിയൻ,അൽബേനിയൻ,സെർബിയൻ,സ്വീഡിഷ്,സ്വാഹിലി,തമിഴ് ,തെലുങ്ക് ,തായ്,ഫിലിപ്പിനോ,ടർക്കിഷ്,ഉയ്ഘുർ,ഉക്രേനിയൻ,ഉറുദു,വിയറ്റ്നാമീസ്,കാന്റണീസ്,ചൈനീസ് (ചൈന),ചൈനീസ് (ഹോങ്കോങ്),പരമ്പരാഗത ചൈനീസ്
mr-IN,अफ्रिकान्स ,अरबी,अझरबैजानी ,बल्गेरियन ,बंगाली ,बोस्नियन ,कातालान,झेक,डॅनिश,जर्मन,ग्रीक,इंग्रजी,स्पॅनिश,इस्टोनियन ,बास्क,फारसी ,फिन्निश,फ्रेंच,आयरिश ,गॅलिशियन,गुजराती ,हिब्रू,हिंदी,क्रोएशियन,हंगेरियन,इंडोनेशियन,इटालियन,जपानी,जॉर्जियन,कझाक,ख्मेर,कन्नड,कोरियन,किरगीझ,लिथुआनियन,लात्व्हियन,मॅसेडोनियन,मल्याळम,मराठी,मलय,बर्मी,नॉर्वेजियन बोकमाल,डच,पंजाबी,पोलिश,ब्राझिलियन पोर्तुगीज,युरोपियन पोर्तुगीज,रोमानियन,रशियन,स्लोव्हाक,स्लोव्हेनियन,अल्बानियन,सर्बियन,स्वीडिश,स्वाहिली,तामिळ,तेलगू,थाई,फिलिपिनो,तुर्की,उइगुर,युक्रेनियन,उर्दू,व्हिएतनामी,कँटोनीज,चीनी (चीन),चीनी (हाँगकाँग),पारंपारिक चीनी
ms,Afrikaans ,Arab,Azerbaijan,Bulgaria ,Benggali ,Bosnia ,Catalonia,Czech,Denmark,Jerman,Greek,Inggeris,Sepanyol,Estonia ,Basque,Parsi ,Finland,Perancis,Ireland ,Galicia ,Gujerat,Ibrani,Hindi,Croatia ,Hungary,Indonesia,Itali,Jepun,Georgia,Kazakhstan ,Khmer,Kannada,Korea,Kirghiz,Lithuania ,Latvia,Macedonia,Malayalam,Marathi,Melayu,Burma,Bokmal Norway,Belanda,Punjabi,Poland,Portugis Brazil,Portugis Eropah,Romania,Rusia,Slovak,Slovenia,Albania ,Serbia,Sweden,Swahili,Tamil,Telugu,Thai,Filipina ,Turki,Uyghur,Ukraine ,Urdu,Vietnam,Kantonis,Cina (China),Cina (Hong Kong),Cina Tradisional
my,အာဖရိကန်,အာရဗီ,အဇာဘိုင်ဂျန်,ဘူလ်ဂေးရီးယန်း,ဘင်္ဂလား,ဘော့စနီးယန်း,ကတ်တလန်,ချက်,ဒိန်းမတ်,ဂျာမန်,ဂရိ,အင်္ဂလိပ်,စပိန်,အက်စတိုးနီးယား,ဘာစ်ခ်,ပါရှား,ဖင်လန်,ပြင်သစ်,အိုင်းရစ်ရှ်,ဂါလီစီယာ,ဂူဂျာရာတီ,ဟေဗြဲ,ဟင်ဒီ,ခရိုအေးရှန်း,ဟန်ဂေရီ,အင်ဒိုနီးရှား,အီတာလီ,ဂျပန်,ဂျော်ဂျီယန်,ကာဇက်ခ်,ခမာ,ကန်နာဒါ,ကိုရီးယန်း,ကာဂျစ်,လစ်သူယေးနီးယား,လက်ဗီယန်,မက်ဆီဒိုးနီးယန်း,မာလေယာလမ်,မာရသီ,မလေး,မြန်မာ,နော်ဝီဂျီယမ် ဘွတ်ခ်မောလ်,ဒတ်ချ်,ပန်ချာပီ,ပိုလန်,ပေါ်တူဂီ (ဘရာဇီး),ပေါ်တူဂီ (ဥရောပ),ရိုမေးနီးယား,ရုရှား,ဆလိုဗက်,ဆလိုဗေးနီးယား,အယ်လ်ဘေးနီးယား,ဆားဘီးယား,ဆွီဒင်,ဆွာဟီလီ,တမီးလ်,တယ်လူဂူ,ထိုင်း,ဖိလစ်ပိုင်,တူရကီ,ဝီဂါ,ယူကရိန်း,အူရဒူ,ဗီယက်နမ်,ကန်တုံ,တရုတ် (ပြည်မ),တရုတ် (ဟောင်ကောင်),ရှေးသုံးတရုတ်
nb,afrikaans,arabisk,aserbajdsjansk,bulgarsk,bengali,bosnisk,katalansk,tsjekkisk,dansk,tysk,gresk,engelsk,spansk,estisk,baskisk,persisk,finsk,fransk,irsk,galisisk,gujarati,hebraisk,hindi,kroatisk,ungarsk,indonesisk,italiensk,japansk,georgisk,kasakhisk,khmer,kannada,koreansk,kirgisisk,litauisk,latvisk,makedonsk,malayalam,marathi,malayisk,burmesisk,norsk bokmål,nederlandsk,panjabi,polsk,portugisisk (Brasil),portugisisk (Portugal),rumensk,russisk,slovakisk,slovensk,albansk,serbisk,svensk,swahili,tamil,telugu,thai,filipino,tyrkisk,uigurisk,ukrainsk,urdu,vietnamesisk,kantonesisk,kinesisk (Kina),kinesisk (Hongkong),kinesisk (tradisjonell)
nl,Afrikaans,Arabisch,Azerbeidzjaans,Bulgaars,Bengaals,Bosnisch,Catalaans,Tsjechisch,Deens,Duits,Grieks,Engels,Spaans,Ests,Baskisch,Perzisch,Fins,Frans,Iers,Galicisch,Gujarati,Hebreeuws,Hindi,Kroatisch,Hongaars,Indonesisch,Italiaans,Japans,Georgisch,Kazachs,Khmer,Kannada,Koreaans,Kirgizisch,Litouws,Lets,Macedonisch,Malayalam,Marathi,Maleis,Birmaans,Bokmål,Nederlands,Punjabi,Pools,Portugees (Brazilië),Portugees (Portugal),Roemeens,Russisch,Slowaaks,Sloveens,Albanees,Servisch,Zweeds,Swahili,Tamil,Telugu,Thai,Filipijns,Turks,Oeigoers,Oekraïens,Urdu,Vietnamees,Kantonees,Chinees (China),Chinees (Hongkong),Chinees (traditioneel)
pa-IN,ਅਫ਼ਰੀਕਨ,ਅਰਬੀ,ਅਜ਼ਰਬਾਈਜਾਨੀ,ਬੁਲਗਾਰੀਅਨ,ਬੰਗਲਾ,ਬੋਸਨੀਆ,ਕੈਟਾਲਾਨ,ਚੈੱਕ,ਡੈਨਿਸ਼,ਜਰਮਨ,ਗ੍ਰੀਕ,ਅੰਗਰੇਜ਼ੀ,ਸਪੈਨਿਸ਼,ਐਸਟੋਨੀਅਨ,ਬਾਸਕ,ਫ਼ਾਰਸੀ,ਫਿਨਿਸ਼,ਫਰੈਂਚ,ਆਈਰਿਸ਼,ਗੈਲਿਕ,ਗੁਜਰਾਤੀ,ਹਿਬਰੂ,ਹਿੰਦੀ,ਕ੍ਰੋਏਸ਼ੀਅਨ,ਹੰਗੇਰੀਅਨ,ਇੰਡੋਨੇਸ਼ੀਅਨ,ਇਟਾਲੀਅਨ,ਜਾਪਾਨੀ,ਜਾਰਜੀਅਨ,ਕਜ਼ਾਖ,ਖਮੇਰ,ਕੰਨੜ,ਕੋਰੀਅਨ,ਕਿਰਗਿਜ਼,ਲਿਥੁਆਨੀਅਨ,ਲਾਤਵੀਅਨ,ਮੈਸੇਡੋਨੀਅਨ,ਮਲਿਆਲਮ,ਮਰਾਠੀ,ਮਲੇ,ਬਰਮੀਜ਼,ਨਾਰਵੇਜਿਅਨ ਬੋਕਮਾਲ,ਡੱਚ,ਪੰਜਾਬੀ,ਪੋਲਿਸ਼,ਬ੍ਰਾਜ਼ੀਲੀਅਨ,ਪੁਰਤਗਾਲੀ,ਰੋਮਾਨੀਅਨ,ਰੂਸੀ,ਸਲੋਵਾਕ,ਸਲੋਵੇਨੀਅਨ,ਅਲਬਾਨੀਅਨ,ਸਰਬੀਅਨ,ਸਵੀਡਿਸ਼,ਸਵਾਹਿਲੀ,ਤਾਮਿਲ,ਤੇਲਗੂ,ਥਾਈ,ਫਿਲੀਪੀਨੋ,ਤੁਰਕੀ,ਉਇਘੁਰ,ਯੂਕਰੇਨੀ,ਉਰਦੂ,ਵੀਅਤਨਾਮੀ,ਕੈਂਟੋਨੀਜ਼,ਚੀਨੀ (ਚੀਨ),ਚੀਨੀ (ਹਾਂਗਕਾਂਗ),ਰਵਾਇਤੀ ਚੀਨੀ
pl,afrikaans,arabski,azerbejdżański,bułgarski,bengalski,bośniacki,kataloński,czeski,duński,niemiecki,grecki,angielski,hiszpański,estoński,baskijski,perski,fiński,francuski,irlandzki,galicyjski,gudżarati,hebrajski,hindi,chorwacki,węgierski,indonezyjski,włoski,japoński,gruziński,kazachski,khmerski,kannada,koreański,kirgiski,litewski,łotewski,macedoński,malajalam,marathi,malajski,birmański,norweski,niderlandzki,pendżabski,polski,portugalski (Brazylia),portugalski (Portugalia),rumuński,rosyjski,słowacki,słoweński,albański,serbski,szwedzki,suahili,tamilski,telugu,tajski,filipiński,turecki,ujgurski,ukraiński,urdu,wietnamski,kantoński,chiński (Chiny),chiński (Hongkong),chiński tradycyjny
pt-BR,africâner ,árabe,azerbaijano ,búlgaro ,bengali ,bósnio ,catalão,tcheco,dinamarquês,alemão,grego,inglês,espanhol,estoniano ,basco,persa ,finlandês,francês,irlandês,galego,guzerate,hebraico,híndi,croata,húngaro,indonésio,italiano,japonês,georgiano,cazaque,khmer,canarim,coreano,quirguiz,lituano,letão,macedônio,malaiala,marati,malaio,birmanês,bokmål norueguês,holandês,panjabi,polonês,português (Brasil),português (Portugal),romeno,russo,eslovaco,esloveno,albanês,sérvio,sueco,suaíli,tâmil,télugo,tailandês,filipino,turco,uigur,ucraniano,urdu,vietnamita,cantonês,chinês (China),chinês (Hong Kong),chinês tradicional
pt-PT,africanês,árabe,azerbaijano ,búlgaro ,bengalês ,bósnio ,catalão,checo,dinamarquês,alemão,grego,inglês,espanhol,estónio ,basco,persa ,finlandês,francês,irlandês,galego,guzerate,hebraico,hindi,croata,húngaro,indonésio,italiano,japonês,georgiano,cazaque,khmer,canarim,coreano,quirguiz,lituano,letão,macedónio,malaiala,marata,malaio,birmanês,norueguês bokmål,neerlandês,panjabi,polaco,português do Brasil,português europeu,romeno,russo,eslovaco,esloveno,albanês,sérvio,sueco,suaíli,tâmil,telugu,tailandês,filipino,turco,uigur,ucraniano,urdu,vietnamita,cantonês,chinês (China),chinês (Hong Kong),chinês tradicional
ro-RO,afrikaans ,arabă,azeră ,bulgară ,bengaleză ,bosniacă ,catalană,cehă,daneză,germană,greacă,engleză,spaniolă,estonă ,bască,persană ,finlandeză,franceză,irlandeză ,galiciană ,gujarati ,ebraică,hindi ,croată ,maghiară,indoneziană,italiană,japoneză,georgiană,kazahă ,khmeră ,kannada ,coreeană,kârgâză ,lituaniană ,letonă,macedoneană ,malayalam ,marathi ,malaeză,birmană,norvegiană bokmål,neerlandeză,punjabi ,poloneză,portugheză (Brazilia),portugheză (Europa),română ,rusă,slovacă ,slovenă ,albaneză ,sârbă,suedeză,swahili,tamilă ,telugu ,thailandeză,filipineză ,turcă,uigură,ucraineană ,urdu,vietnameză,cantoneză,chineză (China),chineză (Hong Kong),chineză tradițională
ru,Африкаанс ,Арабский,Азербайджанский,Болгарский,Бенгальский,Боснийский,Каталанский,Чешский,Датский,Немецкий,Греческий,Английский,Испанский,Эстонский,Баскский,Персидский,Финский,Французский,Ирландский,Галисийский,Гуджарати,Иврит,Хинди,Хорватский,Венгерский,Индонезийский,Итальянский,Японский,Грузинский,Казахский,Кхмерский,Каннада,Корейский,Киргизский,Литовский,Латышский,Македонский,Малаялам,Маратхи,Малайский,Бирманский,Норвежский букмол,Нидерландский,Панджаби,Польский,Бразильский португальский,Европейский португальский,Румынский,Русский,Словацкий,Словенский,Албанский,Сербский,Шведский,Суахили,Тамильский,Телугу,Тайский,Филиппинский,Турецкий,Уйгурский,Украинский,Урду,Вьетнамский,Кантонский,Китайский (Китай),Китайский (Гонконг),Китайский (традиционное письмо)
sk-SK,Afrikánčina,Arabčina,Azerbajdžančina,Bulharčina,Bengálčina,Bosniačtina,Katalánčina,Čeština,Dánčina,Nemčina,Gréčtina,Angličtina,Španielčina,Estónčina,Baskičtina,Perzština,Fínčina,Francúzština,Írčina,Galícijčina,Gudžarátčina,Hebrejčina,Hindčina,Chorvátčina,Maďarčina,Indonézština,Taliančina,Japončina,Gruzínčina,Kazaština,Khmérčina,Kannadčina,Kórejčina,Kirgizština,Litovčina,Lotyština,Macedónčina,Malajálamčina,Maráthčina,Malajčina,Barmčina,Nórčina,Holandčina,Pandžábčina,Poľština,Portugalčina (brazílska),Portugalčina (európska),Rumunčina,Ruština,Slovenčina,Slovinčina,Albánčina,Srbčina,Švédčina,Swahilčina,Tamilčina,Telugčina,Thajčina,Filipínčina,Turečtina,Ujgurčina,Ukrajinčina,Urdčina,Vietnamčina,Kantončina,Čínština (Čína),Čínština (Hongkong),Čínština (tradičná)
sl-SI,Afrikanščina,Arabščina,Azerbajdžanščina ,Bolgarščina ,Bengalščina,Bosanščina,Katalonščina,Češčina,Danščina,Nemščina,Grščina,Angleščina,Španščina,Estonščina,Baskovščina,Perzijščina,Finščina,Francoščina,Irščina,Galicijščina,Gudžaratščina,Hebrejščina,Hindijščina,Hrvaščina,Madžarščina,Indonezijščina,Italijanščina,Japonščina,Gruzijščina,Kazaščina,Kmerščina,Kanareščina,Korejščina,Kirgiščina ,Litovščina,Latvijščina,Makedonščina,Malajalamščina,Maratščina,Malajščina,Burmanščina,Knjižna norveščina,Nizozemščina,Pandžabščina,Poljščina,Brazilska portugalščina,Evropska portugalščina,Romunščina,Ruščina,Slovaščina,Slovenščina,Albanščina,Srbščina,Švedščina,Svahili,Tamilščina,Telugijščina,Tajščina,Filipinščina,Turščina,Ujgurščina,Ukrajinščina,Urdujščina,Vietnamščina,Kantonščina,Kitajščina (Kitajska),Kitajščina (Hongkong),Tradicionalna kitajščina
sq-AL,Afrikançe,Arabisht,Azerbajxhanisht,Bullgarisht,Bengalisht,Boshnjakisht,Katalanisht,Çekisht,Danisht,Gjermanisht,Greqisht,Anglisht,Spanisht,Estonisht,Baskisht,Persisht,Finlandisht,Frengjisht,Irlandisht,Galicisht,Guxharatisht,Hebraisht,Hindustanisht,Kroatisht,Hungarisht,Indonezisht,Italisht,Japonisht,Gjeorgjisht,Kazakisht,Kmerisht,Kanadisht,Koreançe,Kirgizisht,Lituanisht,Letonisht,Maqedonisht,Malajalamisht,Maratisht,Malajzisht,Birmanisht,Norvegjeze Bokmål,Holandisht,Panxhabe,Polonisht,Portugalisht brazilian,Portugalisht europian,Rumanisht,Rusisht,Sllovakisht,Sllovenisht,Shqip,Serbisht,Suedisht,Suahile,Tamil,Telegu,Tajlandisht,Filipinisht,Turqisht,Ujgurisht,Ukrainisht,Urdu,Vietnamisht,Kantonezisht,Kinezçe (Kina),Kinezçe (Hong Kong),Kinezçe tradicionale
sr,Африканс,Арапски,Азербејџански,Бугарски,Бенгалски,Босански,Каталонски,Чешки,Дански,Немачки,Грчки,Енглески,Шпански,Естонски,Баскијски,Персијски,Фински,Француски,Ирски,Галицијски,Гуџарати,Хебрејски,Хинди,Хрватски,Мађарски,Индонежански,Италијански,Јапански,Грузијски,Казашки,Кмерски,Канада,Корејски,Киргиски,Литвански,Летонски,Македонски,Малајалам,Марати,Малајски,Бурмански,Норвешки букмол,Холандски,Пенџапски,Пољски,Португалски (Бразил),Португалски (Португал),Румунски,Руски,Словачки,Словеначки,Албански,Српски,Шведски,Свахили,Тамилски,Телугу,Тајски,Филипински,Турски,Ујгурски,Украјински,Урду,Вијетнамски,Кантонски,Кинески (Кина),Кинески (Хонг Конг),Традиционални кинески
sv,Afrikaans,Arabiska,Azerbajdzjanska,Bulgariska,Bengali,Bosniska,Katalanska,Tjeckiska,Danska,Tyska,Grekiska,Engelska,Spanska,Estniska,Baskiska,Persiska,Finska,Franska,Iriska,Galiciska,Gujarati,Hebreiska,Hindi,Kroatiska,Ungerska,Indonesiska,Italienska,Japanska,Georgiska,Kazakiska,Kambodjanska,Kannada,Koreanska,Kirgiziska,Litauiska,Lettiska,Makedonska,Malayalam,Marathi,Malajiska,Burmesiska,Norskt bokmål,Nederländska,Punjabi,Polska,Brasiliansk portugisiska,Europeisk portugisiska,Rumänska,Ryska,Slovakiska,Slovenska,Albanska,Serbiska,Svenska,Swahili,Tamil,Telugu,Thailändska,Filippinska,Turkiska,Uiguriska,Ukrainska,Urdu,Vietnamesiska,Kantonesiska,Kinesiska (Kina),Kinesiska (Hongkong),Traditionell kinesiska
sw,Kiafrikana ,Kiarabu,Kiazerbaijani ,Kibulgaria,Kibengali,Kibosnia ,Kikatalani,Kicheki,Kidenmaki,Kijerumani,Kigiriki,Kiingereza,Kihispania,Kiestonia ,Kibaski,Kiajemi ,Kifini,Kifaransa,Kiayalandi ,Kigalisi ,Kigujarati ,Kiebrania,Kihindi ,Kikroasia ,Kihungaria,Kiindonesia,Kiitaliano,Kijapani,Kijojia ,Kikazakh ,Kikambodia,Kikannada ,Kikorea,Kikyrgyz ,Kilithuania ,Kilatvia ,Kimacedonia ,Kimalayalamu ,Kimarathi ,Kimalei,Kiburma,Kinorwe cha Bokmal,Kiholanzi,Kipunjabi ,Kipolandi,Kireno (Brazili),Kireno (Ulaya),Kiromania ,Kirusi,Kislovakia ,Kislovenia ,Kialbania ,Kiserbia,Kiswidi,Kiswahili,Kitamili ,Kitelugu ,Kithai,Kifilipino,Kituruki,Kiuyghur,Kiukraini,Kiurdu,Kivietinamu,Kikantoni,Kichina (Uchina),Kichina (Hong Kong),Kichina cha Jadi
